,feature,val,precision,recall,fbeta
0,workclass,Private,0.8195679796696315,0.6443556443556444,0.7214765100671142
1,workclass,State-gov,0.7746478873239436,0.7534246575342466,0.7638888888888888
2,workclass,Self-emp-not-inc,0.7280701754385965,0.5286624203821656,0.6125461254612548
3,workclass,Self-emp-inc,0.7741935483870968,0.8135593220338984,0.7933884297520662
4,workclass,Federal-gov,0.7432432432432432,0.7857142857142857,0.7638888888888888
5,workclass,Local-gov,0.8035714285714286,0.8181818181818182,0.8108108108108109
6,workclass,?,0.7777777777777778,0.5,0.6086956521739131
7,workclass,Without-pay,1.0,1.0,1.0
8,education,Some-college,0.7663551401869159,0.592057761732852,0.6680244399185337
9,education,HS-grad,0.8382352941176471,0.33043478260869563,0.474012474012474
10,education,Bachelors,0.7780172413793104,0.8022222222222222,0.7899343544857769
11,education,Masters,0.8318181818181818,0.8840579710144928,0.8571428571428571
12,education,Assoc-acdm,0.7708333333333334,0.7872340425531915,0.7789473684210526
13,education,7th-8th,1.0,0.0,0.0
14,education,11th,1.0,0.45454545454545453,0.625
15,education,Assoc-voc,0.7169811320754716,0.6031746031746031,0.6551724137931034
16,education,Prof-school,0.851063829787234,0.9523809523809523,0.898876404494382
17,education,9th,1.0,0.6666666666666666,0.8
18,education,5th-6th,1.0,0.5,0.6666666666666666
19,education,10th,1.0,0.3333333333333333,0.5
20,education,Doctorate,0.8153846153846154,0.9298245614035088,0.8688524590163934
21,education,12th,1.0,0.4,0.5714285714285715
22,education,1st-4th,1.0,1.0,1.0
23,education,Preschool,1.0,1.0,1.0
24,marital-status,Divorced,0.8979591836734694,0.42718446601941745,0.5789473684210527
25,marital-status,Married-civ-spouse,0.7872161480235492,0.7112462006079028,0.7473053892215568
26,marital-status,Never-married,0.8867924528301887,0.4563106796116505,0.6025641025641026
27,marital-status,Separated,1.0,0.5263157894736842,0.6896551724137931
28,marital-status,Widowed,1.0,0.21052631578947367,0.34782608695652173
29,marital-status,Married-spouse-absent,1.0,0.5,0.6666666666666666
30,marital-status,Married-AF-spouse,1.0,0.0,0.0
31,occupation,Adm-clerical,0.75,0.46875,0.5769230769230769
32,occupation,Exec-managerial,0.8065326633165829,0.8085642317380353,0.8075471698113208
33,occupation,Machine-op-inspct,0.7727272727272727,0.3617021276595745,0.4927536231884059
34,occupation,Craft-repair,0.8041237113402062,0.430939226519337,0.5611510791366906
35,occupation,Prof-specialty,0.801980198019802,0.826530612244898,0.814070351758794
